State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
OB2;67;24247,17;2056,478;2777,930916;235,6049722;;;;;
OB2;68;24622,32;2100,026;2820,910809;240,5941456;;;;;
OB2;69;25003,04;2145,145;2864,528842;245,7633041;;;;;
OB2;70;25389,42;2191,869;2908,795326;251,116343;;;;;
OB2;71;25781,53;2240,237;2953,718279;256,6577304;;;;;
OB2;72;26179,47;2290,282;2999,30916;262,3912471;;;;;
OB2;73;26583,33;2342,042;3045,578278;268,3212465;;;;;
OB2;74;26993,18;2395,553;3092,533654;274,4518531;;;;;
OB2;75;27409,13;2450,852;3140,18789;280,787306;;;;;
OB2;76;27831,25;2507,974;3188,549006;287,3316148;;;;;
OB2;77;28259,65;2566,958;3237,629604;294,0892479;;;;;
OB2;78;28694,41;2627,84;3287,43885;301,0643295;;;;;
OB2;79;29135,64;2690,658;3337,989345;308,2612133;;;;;
OB2;80;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;81;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;82;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;83;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;84;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;85;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;86;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;87;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;88;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;89;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;90;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;91;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;92;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;93;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;94;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;95;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;96;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;97;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;98;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;99;29583,43;2755,449;3389,291402;315,6841382;;;;;
OB2;100;29583,43;2755,449;3389,291402;315,6841382;;;;;
